Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Akoranga,-36.79538106755714,174.7530516279308,McDonald's,-36.79284610184458,174.7485686836684,Fast Food Restaurant
Akoranga,-36.79538106755714,174.7530516279308,YMCA,-36.793496373293465,174.74965455354308,Gym
Akoranga,-36.79538106755714,174.7530516279308,Subway,-36.79671518693288,174.7571676895394,Sandwich Place
Akoranga,-36.79538106755714,174.7530516279308,Takapuna Rugby Club Grounds,-36.79241701745535,174.74981414982986,Athletics & Sports
Albany Central,-36.848054966818566,174.73510005266175,Five Loaves,-36.84549798198214,174.73538117969207,Café
Albany Central,-36.848054966818566,174.73510005266175,Fishsmith,-36.84548450901409,174.7355052925074,Fast Food Restaurant
Albany Central,-36.848054966818566,174.73510005266175,Dear Jervois,-36.84568367122416,174.7341590704603,Café
Albany Central,-36.848054966818566,174.73510005266175,Janken,-36.84523904876093,174.7374048199525,Japanese Restaurant
Albany Central,-36.848054966818566,174.73510005266175,Andiamo,-36.845449339629845,174.73586997796667,Italian Restaurant
Albany Central,-36.848054966818566,174.73510005266175,Cox's Creek,-36.849867556720184,174.73300081878884,River
Albany Central,-36.848054966818566,174.73510005266175,Herne Bay Pharmacy,-36.84550177284334,174.73531866904656,Pharmacy
Albany Central,-36.848054966818566,174.73510005266175,Bacio Cafe,-36.845474,174.73492,Café
Albany Central,-36.848054966818566,174.73510005266175,Erawan Thai,-36.845408,174.734785,Thai Restaurant
Albany Central,-36.848054966818566,174.73510005266175,Taisho Yakitori Bar,-36.84541977185074,174.73602185003435,Japanese Restaurant
Albany Central,-36.848054966818566,174.73510005266175,Pure,-36.84541,174.73616,American Restaurant
Albany Central,-36.848054966818566,174.73510005266175,John Dory's Takeaways,-36.84538239812875,174.73621117902792,Seafood Restaurant
Albany Central,-36.848054966818566,174.73510005266175,The Butcher’s Son,-36.84536,174.736251,Café
Albany Central,-36.848054966818566,174.73510005266175,Paris Butter,-36.845463,174.73701,French Restaurant
Albany Central,-36.848054966818566,174.73510005266175,Hukanui Reserve,-36.85147932292216,174.7324158476402,Park
Albany Heights,-36.71601880799994,174.69289730700007,Albany Accounting,-36.71850041442201,174.6928632259369,Business Service
Albany South,-36.848054966818566,174.73510005266175,Five Loaves,-36.84549798198214,174.73538117969207,Café
Albany South,-36.848054966818566,174.73510005266175,Fishsmith,-36.84548450901409,174.7355052925074,Fast Food Restaurant
Albany South,-36.848054966818566,174.73510005266175,Dear Jervois,-36.84568367122416,174.7341590704603,Café
Albany South,-36.848054966818566,174.73510005266175,Janken,-36.84523904876093,174.7374048199525,Japanese Restaurant
Albany South,-36.848054966818566,174.73510005266175,Andiamo,-36.845449339629845,174.73586997796667,Italian Restaurant
Albany South,-36.848054966818566,174.73510005266175,Cox's Creek,-36.849867556720184,174.73300081878884,River
Albany South,-36.848054966818566,174.73510005266175,Herne Bay Pharmacy,-36.84550177284334,174.73531866904656,Pharmacy
Albany South,-36.848054966818566,174.73510005266175,Bacio Cafe,-36.845474,174.73492,Café
Albany South,-36.848054966818566,174.73510005266175,Erawan Thai,-36.845408,174.734785,Thai Restaurant
Albany South,-36.848054966818566,174.73510005266175,Taisho Yakitori Bar,-36.84541977185074,174.73602185003435,Japanese Restaurant
Albany South,-36.848054966818566,174.73510005266175,Pure,-36.84541,174.73616,American Restaurant
Albany South,-36.848054966818566,174.73510005266175,John Dory's Takeaways,-36.84538239812875,174.73621117902792,Seafood Restaurant
Albany South,-36.848054966818566,174.73510005266175,The Butcher’s Son,-36.84536,174.736251,Café
Albany South,-36.848054966818566,174.73510005266175,Paris Butter,-36.845463,174.73701,French Restaurant
Albany South,-36.848054966818566,174.73510005266175,Hukanui Reserve,-36.85147932292216,174.7324158476402,Park
Albany West,-36.848054966818566,174.73510005266175,Five Loaves,-36.84549798198214,174.73538117969207,Café
Albany West,-36.848054966818566,174.73510005266175,Fishsmith,-36.84548450901409,174.7355052925074,Fast Food Restaurant
Albany West,-36.848054966818566,174.73510005266175,Dear Jervois,-36.84568367122416,174.7341590704603,Café
Albany West,-36.848054966818566,174.73510005266175,Janken,-36.84523904876093,174.7374048199525,Japanese Restaurant
Albany West,-36.848054966818566,174.73510005266175,Andiamo,-36.845449339629845,174.73586997796667,Italian Restaurant
Albany West,-36.848054966818566,174.73510005266175,Cox's Creek,-36.849867556720184,174.73300081878884,River
Albany West,-36.848054966818566,174.73510005266175,Herne Bay Pharmacy,-36.84550177284334,174.73531866904656,Pharmacy
Albany West,-36.848054966818566,174.73510005266175,Bacio Cafe,-36.845474,174.73492,Café
Albany West,-36.848054966818566,174.73510005266175,Erawan Thai,-36.845408,174.734785,Thai Restaurant
Albany West,-36.848054966818566,174.73510005266175,Taisho Yakitori Bar,-36.84541977185074,174.73602185003435,Japanese Restaurant
Albany West,-36.848054966818566,174.73510005266175,Pure,-36.84541,174.73616,American Restaurant
Albany West,-36.848054966818566,174.73510005266175,John Dory's Takeaways,-36.84538239812875,174.73621117902792,Seafood Restaurant
Albany West,-36.848054966818566,174.73510005266175,The Butcher’s Son,-36.84536,174.736251,Café
Albany West,-36.848054966818566,174.73510005266175,Paris Butter,-36.845463,174.73701,French Restaurant
Albany West,-36.848054966818566,174.73510005266175,Hukanui Reserve,-36.85147932292216,174.7324158476402,Park
Anzac Avenue,-36.848022744646926,174.7730313966368,Ken Yakitori Bar,-36.84689835867455,174.77201010336668,Yakitori Restaurant
Anzac Avenue,-36.848022744646926,174.7730313966368,Pizza Fresco,-36.84572358029725,174.77322251503665,Pizza Place
Anzac Avenue,-36.848022744646926,174.7730313966368,White's & Co.,-36.84485391994489,174.77019170364798,Frozen Yogurt Shop
Anzac Avenue,-36.848022744646926,174.7730313966368,Jucy Car and Campervan Rentals,-36.850053120607114,174.77604386393415,Rental Car Location
Anzac Avenue,-36.848022744646926,174.7730313966368,Les Mills,-36.84447660669214,174.77105794643688,Gym
Anzac Avenue,-36.848022744646926,174.7730313966368,be. specialty,-36.84616408100342,174.76901026473868,Café
Anzac Avenue,-36.848022744646926,174.7730313966368,Giapo,-36.845838,174.76877,Ice Cream Shop
Anzac Avenue,-36.848022744646926,174.7730313966368,Amano,-36.84451807241657,174.77032465016515,Italian Restaurant
Anzac Avenue,-36.848022744646926,174.7730313966368,Waldorf Stadium Apartments Hotel,-36.84692652393962,174.7733328714355,Hotel
Anzac Avenue,-36.848022744646926,174.7730313966368,1920's Cafe,-36.84689327178828,174.7737852680361,Café
Anzac Avenue,-36.848022744646926,174.7730313966368,Little India,-36.84608676781868,174.77165771398307,Indian Restaurant
Anzac Avenue,-36.848022744646926,174.7730313966368,Atrium On Takutai,-36.84477563357384,174.76998795069167,Shopping Mall
Anzac Avenue,-36.848022744646926,174.7730313966368,Caretaker,-36.8449857674929,174.76934127489224,Speakeasy
Anzac Avenue,-36.848022744646926,174.7730313966368,Sal's Authentic New York Pizza,-36.846371,174.76815,Pizza Place
Anzac Avenue,-36.848022744646926,174.7730313966368,Mexico,-36.84544868987656,174.7702495925092,Mexican Restaurant
Anzac Avenue,-36.848022744646926,174.7730313966368,Takutai Square,-36.8446925604433,174.7694456577301,Plaza
