Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
Aro Valley,-41.29529272299993,174.76154814000006,5622f728498e8bba5b083c62,Garage Project Taproom,-41.295337979801324,174.7668540455652,Beer Bar
Aro Valley,-41.29529272299993,174.76154814000006,4b10c544f964a5209a7523e3,Aro Cafe,-41.29531870331495,174.76692362692086,Cafe
Aro Valley,-41.29529272299993,174.76154814000006,4eb75d06991165b76337e3ba,Polhill Reserve,-41.29394406631803,174.76161913004097,Nature Preserve
Aro Valley,-41.29529272299993,174.76154814000006,4b05877ff964a520f09522e3,Patels Superette,-41.295421835052295,174.76491709521142,Grocery Store
Aro Valley,-41.29529272299993,174.76154814000006,4ee22020aad265ba2dcbf56a,Four Square,-41.295315028806186,174.76669222749837,Grocery Store
Aro Valley,-41.29529272299993,174.76154814000006,4b0b91daf964a520513223e3,Te Aro Fish Supplies Ltd,-41.29535642588941,174.76700819269678,Fish Market
Aro Valley,-41.29529272299993,174.76154814000006,4b058778f964a5204d9422e3,Arobake,-41.29532244084172,174.76718583963674,Bakery
Berhampore,-41.323389291999945,174.77531585600002,4c782e633badb1f79ded4a54,Martin Luckie Park,-41.32458694683371,174.77861881256104,Park
Berhampore,-41.323389291999945,174.77531585600002,57f4a907498e7203206e0e3a,The Paperboat,-41.320034,174.77556,Modern European Restaurant
Berhampore,-41.323389291999945,174.77531585600002,4c188457834e2d7f8dfd2880,Golden Sun,-41.319895,174.775356,Fast Food Restaurant
Berhampore,-41.323389291999945,174.77531585600002,4c5bb7a66ebe2d7ff63ece2e,Chinese Sports and Cultural Centre,-41.3239563130034,174.78049183062248,Recreation Center
Berhampore,-41.323389291999945,174.77531585600002,4b4ac53bf964a5202e8e26e3,Macalister Park,-41.3203269580674,174.77157614121725,Park
Berhampore,-41.323389291999945,174.77531585600002,4fdd40dfe4b0ab51ec6a9522,Liquid Self Service Laundromat,-41.319618530317555,174.77775970277858,Laundromat
Brooklyn East,-41.29744529421098,174.76936627297795,4ec97cdabe7ba4fc70d6c26a,Garage Project,-41.295393137967444,174.76788656210468,Brewery
Brooklyn East,-41.29744529421098,174.76936627297795,5622f728498e8bba5b083c62,Garage Project Taproom,-41.295337979801324,174.7668540455652,Beer Bar
Brooklyn East,-41.29744529421098,174.76936627297795,5a18eb6da22db72597060605,Heyday Beer Co,-41.29672507610351,174.77360021890735,Bar
Brooklyn East,-41.29744529421098,174.76936627297795,4b0630cff964a52096e922e3,Fidel's Cafe,-41.29592152019071,174.7742319197476,Cafe
Brooklyn East,-41.29744529421098,174.76936627297795,4b511c5ef964a520034327e3,Le Moulin Bakery,-41.294013927496216,174.7720745714412,Bakery
Brooklyn East,-41.29744529421098,174.76936627297795,51f07508498e516cffda67ee,Preservatorium,-41.29798041751821,174.77389660795507,Cafe
Brooklyn East,-41.29744529421098,174.76936627297795,5369c4e0498efcafe81b97ec,Ekim Burgers,-41.29622931018094,174.77420481836467,Burger Joint
Brooklyn East,-41.29744529421098,174.76936627297795,4b189d66f964a520a8d423e3,Hell Pizza,-41.29763920965347,174.77327128704317,Pizza Place
Brooklyn East,-41.29744529421098,174.76936627297795,4b07e9a1f964a5200c0123e3,Havana Bar,-41.29593148107729,174.77500533701712,Bar
Brooklyn East,-41.29744529421098,174.76936627297795,4c8e8d32b3bcb60c0f785a27,Emporio,-41.295751316899036,174.77254896042538,Coffee Shop
