Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
Akoranga,-36.79538106755714,174.7530516279308,4bb9a266b35776b0460bca01,McDonald's,-36.79284610184458,174.7485686836684,Fast Food Restaurant
Akoranga,-36.79538106755714,174.7530516279308,4bb05105f964a520c5403ce3,YMCA,-36.793496373293465,174.74965455354308,Gym
Akoranga,-36.79538106755714,174.7530516279308,4cd9917753a7f04dd0fd6816,Subway,-36.79671518693288,174.7571676895394,Sandwich Place
Akoranga,-36.79538106755714,174.7530516279308,4c0026e8c30a2d7fe91a121d,Takapuna Rugby Club Grounds,-36.79241701745535,174.74981414982986,Athletics & Sports
Albany Central,-36.848054966818566,174.73510005266175,4e5806d77d8bf55c1731016e,Five Loaves,-36.84549798198214,174.73538117969207,Café
Albany Central,-36.848054966818566,174.73510005266175,5369d967498e6813f3ceb4a9,Fishsmith,-36.84548450901409,174.7355052925074,Fast Food Restaurant
Albany Central,-36.848054966818566,174.73510005266175,539cb8f1498e723ddb2d6aed,Dear Jervois,-36.84568367122416,174.7341590704603,Café
Albany Central,-36.848054966818566,174.73510005266175,5188ba6a498ef922678318a7,Janken,-36.84523904876093,174.7374048199525,Japanese Restaurant
Albany Central,-36.848054966818566,174.73510005266175,4b555951f964a5202de227e3,Andiamo,-36.845449339629845,174.73586997796667,Italian Restaurant
Albany Central,-36.848054966818566,174.73510005266175,56c66d7f498e68769c81858c,Governor,-36.845647148048506,174.73467063130067,Modern European Restaurant
Albany Central,-36.848054966818566,174.73510005266175,4d6ab18a9f4b6dcb46da6628,Cox's Creek,-36.849867556720184,174.73300081878884,River
Albany Central,-36.848054966818566,174.73510005266175,4caacfa876d3a093dfd1266b,Trendy Indian,-36.845549,174.735412,Indian Restaurant
Albany Central,-36.848054966818566,174.73510005266175,4fc56302e4b0093f0b6b4150,Herne Bay Pharmacy,-36.84550177284334,174.73531866904656,Pharmacy
Albany Central,-36.848054966818566,174.73510005266175,4bb6dacdf562ef3b9dd53097,Erawan Thai,-36.845408,174.734785,Thai Restaurant
