Suburb,1996,2001,2006,2013,2018,2020
Akoranga,"1,100","1,070","1,190","1,260","1,240","1,290"
Albany Central,80,90,210,290,590,800
Albany Heights,440,600,"1,760","2,400","3,400","3,790"
Albany South,810,"2,850","3,490","3,450","3,630","3,620"
Albany West,230,"1,430","2,180","2,550","2,990","2,920"
Alfriston,550,"1,510","2,630","3,680","3,960","4,040"
Anzac Avenue,720,"1,340","2,320","2,690","3,020","3,000"
Aorere Central,"1,870","1,910","2,020","2,080","2,170","2,170"
Aorere North,"1,640","1,560","1,680","1,750","1,790","1,790"
Aorere South,"3,630","3,880","4,200","4,680","5,240","5,390"
Auckland Airport,710,610,870,600,660,660
Auckland-University,10,100,110,120,120,100
Avondale Central,"1,880","2,150","2,520","2,710","3,200","3,420"
Avondale North,"3,330","3,550","4,010","4,240","4,740","4,930"
Avondale Rosebank,"3,640","3,750","4,150","4,150","4,570","4,700"
Avondale South,"2,710","3,450","3,990","4,180","4,550","4,650"
Avondale West,"2,930","3,580","4,040","4,050","4,280","4,500"
Awaruku,"3,420","4,190","4,350","4,390","4,620","4,680"
Balmoral,"2,890","2,920","3,180","3,240","3,360","3,360"
Baverstock,170,210,"2,110","4,000","4,330","4,410"
Bayswater,"2,820","2,780","2,810","2,980","2,960","2,910"
Bayview East,"2,720","2,810","3,150","3,400","3,830","3,920"
Bayview South,"2,300","2,530","2,910","3,050","3,240","3,260"
Bayview West,"2,250","2,240","2,280","2,400","2,490","2,490"
Beach Haven East,"3,740","3,720","4,000","4,000","4,140","4,160"
Beach Haven South,"2,880","2,850","3,090","3,190","3,290","3,280"
Beach Haven West,"2,980","3,030","3,280","3,440","3,570","3,610"
Belmont,"2,740","2,760","3,010","3,110","3,140","3,160"
Birkdale North,"3,810","3,840","4,000","4,200","4,370","4,430"
Birkdale South,"3,810","3,880","4,330","4,560","4,930","5,010"
Birkenhead North,"2,150","2,440","2,740","2,900","3,010","3,020"
Birkenhead South,"2,540","2,820","2,950","3,030","3,140","3,170"
Birkenhead West,"3,580","3,820","4,120","4,240","4,850","5,160"
Blockhouse Bay East,"1,910","2,140","2,330","2,330","2,690","2,680"
Blockhouse Bay North,"2,400","2,870","3,350","3,590","4,100","4,280"
Blockhouse Bay North East,"1,710","1,930","2,130","2,200","2,330","2,350"
Blockhouse Bay South,"3,270","3,620","3,840","4,120","4,420","4,520"
Botany Central,0,0,0,0,10,10
Botany Downs East,"2,060","2,090","2,180","2,300","2,410","2,440"
Botany Downs West,"2,590","2,770","2,850","2,830","2,980","2,960"
