Suburb,Population,latitude,longitude
Akoranga,"1,290",-36.79538106755714,174.7530516279308
Albany Central,800,-36.848054966818566,174.73510005266175
Albany Heights,"3,790",-36.716018807999944,174.69289730700007
Albany South,"3,620",-36.848054966818566,174.73510005266175
Albany West,"2,920",-36.848054966818566,174.73510005266175
Alfriston,"4,040",-37.010493372999974,174.9408516090001
Anzac Avenue,"3,000",-36.848022744646926,174.7730313966368
Aorere Central,"2,170",-36.85728931781468,174.7807058984133
Aorere North,"1,790",-36.85728931781468,174.7807058984133
Aorere South,"5,390",-36.85728931781468,174.7807058984133
Auckland Airport,660,-37.008059999999944,174.79167000000007
Auckland-University,100,-36.87931999999995,174.84508000000005
Avondale Central,"3,420",-36.88991542266924,174.6788695582643
Avondale North,"4,930",-36.88991542266924,174.6788695582643
Avondale Rosebank,"4,700",-36.88957332799998,174.68242603500005
Avondale South,"4,650",-36.88991542266924,174.6788695582643
Avondale West,"4,500",-36.88991542266924,174.6788695582643
Awaruku,"4,680",-36.69690568574854,174.74031156479404
Balmoral,"3,360",-36.88819999999998,174.7401900000001
Baverstock,"4,410",-36.95625576383953,174.9180148253624
Bayswater,"2,910",-36.80819999999994,174.77019000000007
Bayview East,"3,920",-36.71354719437798,174.74707701473872
Bayview South,"3,260",-36.71354719437798,174.74707701473872
Bayview West,"2,490",-36.71354719437798,174.74707701473872
Beach Haven East,"4,160",-36.79130167139889,174.68821211136262
Beach Haven South,"3,280",-36.79130167139889,174.68821211136262
Beach Haven West,"3,610",-36.79130167139889,174.68821211136262
Belmont,"3,160",-36.80441635099993,174.78796726400003
Birkdale North,"4,430",-36.79795524197044,174.70095103590464
Birkdale South,"5,010",-36.79795524197044,174.70095103590464
Birkenhead North,"3,020",-36.80731846016008,174.72550833235047
Birkenhead South,"3,170",-36.80731846016008,174.72550833235047
Birkenhead West,"5,160",-36.80731846016008,174.72550833235047
Blockhouse Bay East,"2,680",-36.91828391526002,174.7023717498956
Blockhouse Bay North,"4,280",-36.91828391526002,174.7023717498956
Blockhouse Bay North East,"2,350",-36.91828391526002,174.7023717498956
Blockhouse Bay South,"4,520",-36.91828391526002,174.7023717498956
Botany Central,10,-36.90889172178233,174.91774562524546
Botany Downs East,"2,440",-36.90889172178233,174.91774562524546
Botany Downs West,"2,960",-36.90889172178233,174.91774562524546
Botany East,"2,040",-36.90889172178233,174.91774562524546
Botany Junction,190,-36.964639999999974,174.90263000000004
Botany North,"2,630",-36.90889172178233,174.91774562524546
Botany South,"3,080",-36.90889172178233,174.91774562524546
Browns Bay Central,"3,090",-37.01905151979198,174.86180870714676
Browns Bay South East,"3,150",-36.731251368600454,174.73401040768022
Browns Bay South West,"4,510",-36.731251368600454,174.73401040768022
Bucklands Beach Central,"1,970",-36.882009619906825,174.91102495591795
Bucklands Beach North,"3,130",-36.882009619906825,174.91102495591795
Bucklands Beach South,"4,500",-36.882009619906825,174.91102495591795
Burbank,"4,380",-37.021494962750694,174.86395010485498
Burswood,"1,830",-36.92439618499998,174.89707101500005
Campbells Bay,"3,000",-36.74957700899995,174.75627150800005
Castor Bay,"4,740",-36.76050019799993,174.76181657400002
Chapel Downs,"3,690",-36.938286991601444,174.9137173678501
Chatswood,"3,690",-36.81839877999994,174.709841696
Cheltenham,"2,010",-36.81819999999993,174.80019000000004
