Suburb,Population,latitude,longitude
Aro Valley,"4,090",-41.29529272299993,174.76154814000006
Berhampore,"4,040",-41.323389291999945,174.77531585600002
Broadmeadows,"1,720",-41.23329463399995,174.79190988800008
Brooklyn East,"2,780",-41.29744529421098,174.76936627297795
Brooklyn North,"2,320",-41.29744529421098,174.76936627297795
Brooklyn South,"1,880",-41.29744529421098,174.76936627297795
Churton Park North,"4,340",-41.2120937705313,174.8078669636349
Churton Park South,"3,520",-41.2120937705313,174.8078669636349
Courtenay,"2,160",-41.29297838820038,174.77974137934368
Crofton Downs,"1,650",-41.25623244999997,174.76022837400012
Dixon Street,"5,660",-41.291270667617326,174.77514650537444
Evans Bay,"1,190",-41.31019753099997,174.80402897400006
Grenada North,"2,400",-41.18721474199998,174.84248778200003
Grenada Village,"1,840",-41.201827297999955,174.82991623200007
Hataitai North,"4,250",-41.299940323906846,174.78931732057256
Hataitai South,"1,520",-41.299940323906846,174.78931732057256
Houghton Bay,"1,740",-41.338774832999945,174.7861151520001
Island Bay East,"3,710",-41.33767988499994,174.77094191100002
Island Bay West,"3,520",-41.33767988499994,174.77094191100002
Johnsonville Central,"3,140",-41.22418457480566,174.80733883994282
Johnsonville North,"3,440",-41.22418457480566,174.80733883994282
Johnsonville South,"1,870",-41.22418457480566,174.80733883994282
Johnsonville West,"3,540",-41.22418457480566,174.80733883994282
Karaka Bay-Worser Bay,"1,570",-41.31160999999997,174.82995000000005
Karori East,"3,590",-41.28158307566986,174.74983551679705
Karori North,"2,660",-41.28158307566986,174.74983551679705
Karori Park,"4,810",-41.28690999999998,174.72486000000004
Karori South,"4,700",-41.28158307566986,174.74983551679705
Kelburn,"2,270",-41.28640328499995,174.76541082300002
Khandallah North,"2,790",-41.24701485653773,174.78436493023204
Khandallah Reserve,"2,070",-41.245512367999936,174.79214023600002
Khandallah South,"2,060",-41.24701485653773,174.78436493023204
Kilbirnie Central,"2,880",-41.31859999999995,174.79394000000002
Kilbirnie East,"2,210",-41.314882934555825,174.79290627024352
Kingston-Mornington-Vogeltown,"3,320",-41.31349780399995,174.76937892600006
Linden,"3,430",-41.14826999999997,174.83019000000002
Lyall Bay,"2,780",-41.32604363399997,174.79691286000002
Maupuia,"1,630",-41.29707077399996,174.8242747260001
Melrose,"1,380",-41.32541477899997,174.78827842400005
Miramar Central,"2,060",-41.31647275562902,174.81667803055007
Miramar East,"3,100",-41.31647275562902,174.81667803055007
Miramar North,"1,380",-41.303296182507076,174.82290506508087
Miramar South,"3,610",-41.31647275562902,174.81667803055007
Mount Cook East,"2,900",-41.29827999999998,174.76019000000008
Mount Cook West,"4,610",-41.29827999999998,174.76019000000008
Mount Victoria,"4,840",-41.296959999999956,174.79360000000008
Newlands North,"4,210",-41.228592718357405,174.81852651416193
Newlands South,"4,330",-41.228592718357405,174.81852651416193
Newtown North,"2,110",-41.314044909833754,174.7812717651038
Newtown South,"4,040",-41.314044909833754,174.7812717651038
Newtown West,"3,710",-41.314044909833754,174.7812717651038
Ngaio North,"2,640",-41.285941729376596,174.76326580135765
Ngaio South,"3,100",-41.285941729376596,174.76326580135765
Northland (Wellington city),"3,770",-41.27863003899995,174.76060985900006
Onslow,"1,910",-41.254526279312245,174.80002397295223
Oriental Bay,"1,490",-41.29187548599998,174.79675495800007
Owhiro Bay,"2,090",-41.33719731299993,174.73816222200003
Paparangi,"3,050",-41.216739049999944,174.81913482400012
Pipitea-Kaiwharawhara,"1,040",-41.25906952199995,174.79150907500002
Rongotai,40,-41.32658608599996,174.80656404800004
Roseneath,"1,880",-41.29359999999997,174.79748000000006
Seatoun,"2,420",-41.32215211399995,174.83070852600008
Southgate,"1,190",-41.334115822999934,174.78274408000004
Strathmore (Wellington city),"3,960",-41.28663999999998,174.77557000000002
Takapu-Horokiwi,290,-41.20675488599994,174.8520896990001
Tawa Central,"2,770",-41.28489352399998,174.77610046600012
Tawa North,"3,390",-41.17335098031765,174.82887007986608
Tawa South,"3,530",-41.17335098031765,174.82887007986608
Thorndon,"4,320",-41.27125315799998,174.77400564700008
Vivian East,"2,740",-41.29544066451157,174.77703043527146
Vivian West,"3,890",-41.29544066451157,174.77703043527146
Wadestown,"3,910",-41.26228222299994,174.77554424900006
Wellington Botanic Gardens,"1,200",-41.280479999999955,174.7673000000001
Wellington Central,"3,320",-41.28489352399998,174.77610046600012
Wellington University,"1,610",-41.302809999999965,174.77460000000008
Wilton,"2,300",-41.26683532599998,174.75506041500012
Woodridge,"1,840",-41.21235325899994,174.83453239400012
